segment,week,purchasesTotalYTD,itemsTotalYTD,dollarsTotalYTD,purchasesCoreYTD,itemsCoreYTD,dollarsCoreYTD,purchasesExtraYTD,itemsExtraYTD,dollarsExtraYTD,purchasesTotalWeek,itemsTotalWeek,dollarsTotalWeek,purchasesCoreWeek,itemsCoreWeek,dollarsCoreWeek,purchasesExtraWeek,itemsExtraWeek,dollarsExtraWeek
Total,32,227588,1043122,15296776,210644,860819,2894319,19968,27643,108086,25123,27259,334370,18030,18860,54369,1256,1286,2982
Total,33,228946,1070880,15681240,211936,883280,2960820,20825,28994,111168,25461,27759,384465,21166,22461,66502,1318,1352,3082
Total,34,230235,1097957,16065358,213163,905078,3024836,21634,30328,114273,24946,27077,384121,20642,21798,64015,1301,1334,3104
Total,35,231436,1125285,16453226,214319,927332,3093058,22406,31617,117247,25221,27329,387869,21081,22254,68223,1256,1289,2974
Total,36,232599,1151568,16841678,215429,948470,3155999,23193,33027,120758,24340,26283,388455,20110,21139,62942,1371,1410,3511
Total,37,233816,1179379,17261050,216599,970700,3220262,24037,34502,124354,25606,27811,419372,21060,22229,64263,1433,1475,3596
Total,38,234995,1207141,17687056,217733,992890,3286110,24920,36065,128061,25611,27762,426007,21051,22190,65849,1517,1562,3708
Total,39,236246,1238622,18341095,218891,1016830,3360769,26517,40271,143101,28712,31481,654041,22655,23940,74660,3992,4207,15040
Total,40,237431,1268626,18897334,219975,1039966,3431696,27950,43649,153185,27480,30003,556241,21884,23137,70928,3222,3378,10083
Total,41,238652,1298695,19394730,221112,1063406,3499013,29148,45896,158550,27449,30069,497397,22090,23440,67316,2179,2246,5366
Total,42,239751,1326669,19856804,222089,1084691,3560397,30334,48040,163676,25664,27975,462078,20155,21285,61385,2081,2146,5126
Total,43,240811,1355491,20331639,223006,1106186,3622890,31589,50286,168973,26327,28822,474837,20301,21496,62493,2179,2246,5297
Total,44,242175,1391901,21289696,224256,1133462,3719059,34469,56563,187029,32660,36410,958067,25517,27275,96170,5942,6278,18056
Total,45,243636,1427312,22095519,225557,1159859,3809328,37170,61696,199949,32012,35411,805827,24794,26397,90269,4878,5132,12920
Total,46,245130,1464047,22883798,226817,1187340,3903295,39839,66253,210307,33130,36735,788281,25655,27482,93966,4381,4558,10357
Total,47,246840,1500859,23802172,228084,1212466,3993580,43439,72454,224738,33116,36813,918381,23554,25125,90285,5925,6201,14432
Total,48,248993,1551275,25060400,229822,1248234,4138268,48160,80816,243466,44382,50416,1258241,32999,35770,144688,7891,8362,18728
Total,49,251415,1608429,26424795,231808,1288253,4294193,52831,89277,261644,49665,57155,1364418,38605,42224,155927,7963,8462,18179
Total,50,253969,1673168,27871351,233933,1332068,4448375,57232,97716,278681,55026,64741,1446582,39407,43816,154184,7894,8438,17036
Total,51,255800,1721818,28907619,235377,1362022,4538269,60210,103956,291028,41954,48650,1036302,27432,29955,89896,5818,6241,12347
Total,52,256788,1761717,29922654,236105,1383060,4597674,63282,114407,325880,32829,39899,1015072,19575,21037,59406,8519,10452,34854
Focus2,1,1435,1488,16470,1304,1337,4649,41,42,104,1435,1488,16470,1304,1337,4649,41,42,104
Focus2,2,2801,3011,33238,2579,2732,9707,68,69,160,1475,1523,16767,1360,1394,5058,27,27,57
Focus2,3,4159,4658,51702,3872,4259,15638,87,90,209,1594,1649,18464,1490,1527,5931,21,21,49
Focus2,4,5372,6268,70457,5046,5762,21718,98,103,232,1559,1609,18755,1467,1503,6080,13,13,23
Focus2,5,6971,8559,97420,6613,7927,30773,113,117,266,2204,2291,26962,2098,2165,9056,14,14,34
Focus2,6,9392,12409,140031,9001,11561,43842,123,130,312,3616,3850,42611,3448,3634,13068,12,13,46
Focus2,7,10005,13704,151745,9584,12731,47238,128,134,330,1257,1295,11714,1146,1171,3397,5,5,19
Focus2,8,10613,15119,165319,10173,14030,51364,131,139,340,1370,1415,13574,1268,1299,4127,5,5,9
Focus2,9,11231,16698,180607,10775,15490,56145,135,143,354,1527,1579,15288,1423,1460,4780,4,4,14
Focus2,10,11806,18266,195932,11336,16932,60836,139,146,365,1516,1567,15325,1406,1443,4691,4,4,11
Focus2,11,12311,19760,210667,11824,18293,65176,141,149,372,1445,1494,14735,1328,1362,4341,4,4,7
Focus2,12,12820,21376,227716,12321,19779,70440,144,152,376,1562,1617,17051,1448,1486,5264,3,3,5
Focus2,13,13370,23290,248549,12865,21554,77241,148,156,383,1844,1914,20832,1723,1775,6800,4,4,7
Focus2,14,13980,25567,272935,13456,23614,84489,153,161,392,2164,2276,24386,1979,2059,7249,5,5,9
Focus2,15,14315,26975,286600,13787,24899,88544,158,167,405,1364,1408,13664,1256,1286,4055,5,5,13
Focus2,16,14723,28828,305828,14195,26615,94524,167,176,432,1784,1853,19229,1665,1715,5981,10,10,26
Focus2,17,15237,31325,333571,14721,28973,103862,179,191,476,2398,2498,27743,2282,2358,9338,14,14,44
Focus2,18,16103,35669,386181,15616,33116,119156,212,227,572,4077,4343,52610,3926,4144,15294,34,36,96
Focus2,19,16384,37374,402031,15899,34683,123800,216,233,590,1641,1706,15850,1520,1567,4644,6,6,18
Focus2,20,16660,39203,419000,16179,36382,129020,219,237,603,1760,1830,16970,1646,1698,5220,3,3,13
Focus2,21,16922,41045,436864,16444,38091,134498,221,239,608,1769,1841,17864,1656,1710,5478,3,3,5
Focus2,22,17159,42925,455851,16687,39842,140293,223,243,614,1809,1880,18987,1698,1751,5795,4,4,7
Focus2,23,17407,45023,476718,16942,41805,146673,226,245,619,2010,2099,20868,1895,1963,6380,3,3,5
Focus2,24,17771,48211,507948,17324,44840,156466,230,250,632,3023,3188,31230,2901,3035,9792,5,5,13
Focus2,25,17931,49733,521295,17486,46234,160114,232,253,637,1465,1523,13347,1352,1394,3648,3,3,5
Focus2,26,18068,51188,534591,17624,47570,163931,235,256,644,1406,1455,13296,1301,1336,3819,3,3,5
Focus2,27,18192,52579,547880,17748,48835,167522,251,274,693,1344,1391,13289,1235,1265,3590,17,18,50
Focus2,28,18315,54017,561468,17872,50140,171122,275,300,745,1388,1438,13587,1270,1305,3601,26,26,52
Focus2,29,18431,55398,574448,17987,51392,174572,293,320,781,1332,1380,12981,1220,1252,3450,20,21,36
Focus2,30,18543,56901,588616,18101,52762,178608,313,342,822,1450,1504,14169,1333,1370,4036,22,22,41
Focus2,31,18659,58545,604049,18220,54269,183221,335,366,862,1584,1644,15432,1467,1508,4613,23,24,41
Focus2,32,18768,60066,616245,18316,55472,186722,353,386,896,1467,1521,12196,1176,1202,3502,20,20,34
Focus2,33,18871,61623,630680,18421,56895,190921,372,408,931,1495,1556,14435,1381,1425,4199,21,21,33
Focus2,34,18972,63133,644838,18523,58273,195009,391,429,966,1457,1510,14158,1340,1378,4089,22,22,36
Focus2,35,19064,64658,659372,18618,59677,199344,408,448,996,1475,1526,14534,1368,1404,4334,19,20,31
Focus2,36,19149,66095,673061,18707,60992,203267,426,468,1030,1391,1437,13688,1283,1315,3924,20,20,32
Focus2,37,19238,67625,687601,18797,62384,207284,444,490,1064,1473,1529,14540,1354,1392,4017,22,22,35
Focus2,38,19323,69132,702324,18884,63754,211332,465,515,1104,1456,1507,14723,1337,1371,4047,24,24,41
Focus2,39,19408,70713,718592,18969,65189,215769,497,554,1176,1526,1580,16268,1397,1435,4437,39,39,72
Focus2,40,19490,72280,734756,19053,66611,220053,528,592,1256,1510,1568,16164,1382,1422,4285,38,39,80
Focus2,41,19574,73862,750894,19137,68042,224164,559,629,1316,1521,1582,16139,1388,1431,4110,37,37,59
Focus2,42,19647,75317,766001,19211,69339,227863,590,667,1379,1403,1456,15107,1263,1298,3700,38,38,63
Focus2,43,19716,76774,781374,19280,70618,231554,624,706,1449,1400,1455,15373,1243,1278,3691,39,40,70
Focus2,44,19791,78413,802617,19354,72070,236227,678,774,1570,1577,1639,21244,1413,1453,4673,67,68,121
Focus2,45,19870,80194,826466,19432,73645,241520,746,857,1707,1708,1781,23848,1528,1575,5293,81,83,138
Focus2,46,19959,82151,853985,19519,75360,247441,826,952,1860,1864,1958,27519,1654,1715,5920,94,95,153
Focus2,47,20043,83904,882176,19596,76819,252576,926,1070,2065,1670,1753,28192,1411,1459,5135,116,119,204
Focus2,48,20163,86634,929672,19714,79158,262140,1076,1250,2364,2564,2731,47497,2236,2339,9564,176,180,300
Focus2,49,20308,89860,984967,19853,81884,273053,1242,1452,2691,2997,3226,55295,2582,2726,10913,196,202,327
Focus2,50,20460,93453,1041367,20002,84847,283793,1408,1656,3014,3292,3593,56399,2777,2963,10740,199,204,323
Focus2,51,20559,96019,1078010,20093,86839,290014,1526,1807,3250,2367,2566,36644,1884,1994,6222,147,151,236
Focus2,52,20610,97645,1102926,20139,88038,293507,1634,1973,3610,1519,1625,24916,1158,1199,3493,155,166,360
Diverse2,1,5742,6064,102709,4110,4214,12693,559,591,1491,5742,6064,102709,4110,4214,12693,559,591,1491
Diverse2,2,11119,12232,203981,8343,8802,27498,909,983,2435,5877,6168,101273,4478,4588,14805,374,392,943
Diverse2,3,16542,18959,314299,12892,14062,46030,1154,1262,3118,6416,6728,110318,5120,5260,18531,268,279,683
Diverse2,4,21365,25438,423451,17105,19277,65350,1305,1435,3512,6220,6478,109152,5089,5216,19320,169,174,394
Diverse2,5,27219,33868,563573,22433,26320,92454,1459,1614,4021,8057,8430,140122,6837,7043,27104,172,178,509
Diverse2,6,36788,48907,804506,31478,39252,136961,1583,1753,4321,14017,15039,240934,12286,12932,44507,139,140,299
Diverse2,7,39454,54247,881591,33674,43188,147257,1635,1815,4453,5129,5340,77085,3848,3937,10296,61,62,133
Diverse2,8,42037,59853,965496,35891,47487,159513,1687,1875,4582,5385,5607,83903,4200,4298,12255,59,59,129
Diverse2,9,44641,65871,1055925,38176,52177,173311,1732,1926,4695,5779,6017,90430,4579,4691,13799,51,52,113
Diverse2,10,47066,71868,1146168,40309,56817,186807,1774,1976,4797,5754,5998,90242,4527,4640,13496,49,50,102
Diverse2,11,49330,77844,1238583,42302,61393,200157,1812,2021,4891,5737,5976,92415,4466,4576,13351,44,45,94
Diverse2,12,51562,84155,1340076,44314,66332,216045,1854,2069,5002,6051,6311,101491,4818,4939,15888,48,49,112
Diverse2,13,53883,91278,1455867,46432,71962,235612,1896,2119,5100,6805,7123,115792,5468,5630,19568,50,50,98
Diverse2,14,56703,100495,1610195,48906,78919,258897,1956,2188,5244,8688,9217,154328,6700,6958,23285,68,68,144
Diverse2,15,58237,105971,1693871,50301,83086,270698,2029,2273,5478,5261,5476,83677,4076,4167,11801,84,86,234
Diverse2,16,60114,113135,1808211,52108,88816,288841,2139,2400,5858,6846,7165,114339,5572,5729,18143,124,128,380
Diverse2,17,62342,122166,1954462,54365,96377,315931,2292,2579,6377,8598,9031,146252,7324,7562,27091,173,178,518
Diverse2,18,66084,138250,2233974,58337,110418,365038,2663,3012,7639,14978,16084,279512,13329,14041,49108,415,434,1263
Diverse2,19,67464,144946,2333633,59694,115745,379589,2721,3090,7822,6400,6695,99659,5174,5326,14551,75,77,183
Diverse2,20,68780,151923,2434987,61021,121418,395919,2750,3129,7933,6657,6977,101354,5504,5674,16330,39,40,111
Diverse2,21,70038,158938,2539705,62295,127123,412783,2777,3166,8008,6694,7016,104718,5536,5705,16864,37,38,76
Diverse2,22,71177,165848,2642915,63455,132789,430014,2802,3199,8079,6605,6910,103210,5500,5666,17231,32,32,71
Diverse2,23,72356,173502,2756650,64677,139118,449171,2829,3234,8169,7279,7654,113735,6123,6330,19157,34,34,90
Diverse2,24,74006,185047,2918443,66497,149276,481025,2861,3277,8271,10907,11545,161793,9738,10157,31854,42,43,102
Diverse2,25,74846,191046,3002760,67329,153999,492529,2892,3314,8361,5725,5999,84317,4586,4723,11505,37,37,91
Diverse2,26,75576,196619,3083848,68036,158321,503698,2926,3358,8467,5334,5573,81090,4212,4322,11169,43,44,106
Diverse2,27,76310,202275,3200245,68667,162421,514212,3385,3891,11286,5396,5657,116397,4004,4100,10515,521,532,2819
Diverse2,28,77033,208192,3307187,69307,166724,525047,3859,4466,13235,5634,5917,106942,4193,4303,10835,557,575,1949
Diverse2,29,77695,213783,3396807,69918,170879,535377,4150,4818,14093,5336,5593,89620,4047,4154,10328,345,352,859
Diverse2,30,78339,219731,3491581,70527,175360,547034,4444,5179,14929,5682,5947,94775,4367,4481,11658,355,361,836
Diverse2,31,78992,226110,3593450,71154,180226,560223,4748,5561,15781,6082,6378,101870,4739,4866,13189,375,383,852
Diverse2,32,79609,232213,3678489,71667,184226,570771,4995,5876,16473,5826,6104,85039,3911,4000,10548,311,316,692
Diverse2,33,80213,238377,3776049,72256,188940,583484,5264,6217,17194,5870,6164,97560,4576,4714,12713,336,340,721
Diverse2,34,80778,244409,3872937,72813,193540,595752,5522,6548,17907,5759,6032,96889,4475,4599,12269,326,330,715
Diverse2,35,81305,250389,3968674,73340,198140,608446,5773,6877,18615,5720,5981,95738,4479,4600,12694,323,329,707
Diverse2,36,81820,256204,4063540,73850,202580,620501,6021,7211,19388,5573,5815,94865,4334,4442,12055,329,334,773
Diverse2,37,82351,262465,4168261,74377,207330,633164,6294,7575,20192,5975,6261,104721,4622,4749,12663,358,365,805
Diverse2,38,82875,268808,4276092,74901,212139,646178,6589,7976,21080,6057,6342,107832,4683,4809,13015,393,401,887
Diverse2,39,83429,275744,4413673,75435,217182,660346,7085,8776,23320,6606,6936,137584,4910,5044,14168,779,800,2240
Diverse2,40,83939,282359,4541540,75922,222002,673595,7548,9518,25252,6305,6615,127868,4694,4820,13249,723,742,1932
Diverse2,41,84463,289210,4665841,76440,227055,686732,7961,10113,26639,6514,6852,124303,4907,5053,13136,584,596,1387
Diverse2,42,84937,295540,4782828,76881,231539,698353,8375,10700,27971,6034,6331,116987,4369,4486,11622,576,587,1331
Diverse2,43,85388,302028,4905065,77287,235987,710039,8815,11325,29399,6170,6488,122239,4331,4448,11686,612,625,1428
Diverse2,44,85982,310261,5124034,77858,241777,728348,9750,12718,33045,7762,8232,218968,5608,5789,18310,1355,1394,3647
Diverse2,45,86601,318762,5338580,78449,247712,747219,10701,14106,36313,8005,8502,214547,5745,5936,18871,1343,1388,3268
Diverse2,46,87232,327618,5556760,79016,253778,766687,11677,15479,39330,8327,8856,218183,5865,6066,19468,1333,1373,3017
Diverse2,47,87953,337102,5819916,79595,259620,786603,13028,17389,43619,8869,9484,263159,5646,5842,19916,1847,1910,4289
Diverse2,48,88851,350033,6183151,80380,267957,818224,14795,19954,49219,11908,12930,363245,7980,8337,31622,2458,2565,5601
Diverse2,49,89851,365119,6589166,81266,277592,854091,16584,22630,54811,13759,15088,406029,9162,9635,35868,2553,2676,5592
Diverse2,50,90891,382715,7032244,82207,288464,891662,18307,25327,60140,15762,17596,443096,10222,10872,37572,2570,2698,5329
Diverse2,51,91610,396275,7355696,82818,296093,914667,19482,27286,63845,12221,13560,323471,7223,7630,23007,1865,1959,3705
Diverse2,52,92021,406089,7612145,83145,300650,926880,20660,29956,71691,8597,9815,256466,4383,4558,12213,2359,2669,7847
Heavy,1,2029,2664,69315,1473,1684,7527,352,433,1503,2029,2664,69315,1473,1684,7527,352,433,1503
Heavy,2,3219,5266,136304,2531,3391,15570,548,727,2490,2014,2602,66989,1495,1707,8044,249,293,987
Heavy,3,4032,7935,201911,3362,5249,25072,673,945,3250,2095,2669,65606,1623,1858,9501,189,218,759
Heavy,4,4575,10459,264464,3961,7073,34933,749,1079,3676,2033,2523,62554,1612,1824,9860,122,134,426
Heavy,5,4998,13378,334562,4472,9258,46365,821,1216,4298,2271,2919,70098,1861,2185,11434,122,137,622
Heavy,6,5423,17402,423425,5018,12344,59529,865,1300,4550,2913,4026,88862,2460,3086,13163,79,84,252
Heavy,7,5512,19506,468472,5114,13655,64290,898,1365,4784,1680,2102,45047,1166,1310,4760,61,65,234
Heavy,8,5586,21704,517703,5203,15149,70610,937,1437,5002,1769,2198,49232,1322,1494,6321,68,72,219
Heavy,9,5650,24068,571772,5287,16781,77707,971,1502,5203,1882,2364,54068,1433,1632,7096,61,65,201
Heavy,10,5704,26454,628830,5360,18409,84738,1001,1563,5368,1901,2386,57058,1427,1629,7031,59,61,165
Heavy,11,5749,28868,684886,5423,20091,92218,1032,1624,5528,1921,2415,56056,1467,1681,7480,58,60,160
Heavy,12,5793,31406,745228,5484,21921,101328,1063,1688,5688,2027,2539,60341,1596,1831,9111,60,65,160
Heavy,13,5831,34301,814245,5543,24021,112353,1091,1748,5832,2255,2894,69017,1789,2100,11025,57,59,143
Heavy,14,5872,37866,897661,5604,26465,123114,1127,1821,5996,2609,3565,83417,2007,2444,10760,68,73,164
Heavy,15,5888,40023,945096,5631,27869,128722,1161,1910,6258,1735,2157,47435,1249,1405,5608,81,89,262
Heavy,16,5907,42569,1002001,5666,29749,137294,1202,1993,6504,2034,2546,56903,1633,1879,8573,78,82,246
Heavy,17,5926,45461,1067179,5702,31993,148453,1247,2079,6766,2283,2892,65179,1920,2245,11159,82,87,263
Heavy,18,5951,49647,1164036,5757,35383,163124,1318,2213,7163,3067,4186,96857,2700,3390,14671,124,134,397
Heavy,19,5959,51845,1209853,5774,36941,168677,1329,2245,7247,1777,2199,45817,1365,1557,5553,31,32,83
Heavy,20,5967,54179,1258448,5792,38687,175400,1337,2266,7294,1877,2334,48596,1521,1747,6723,21,21,47
Heavy,21,5973,56561,1309707,5808,40487,182744,1346,2290,7359,1919,2381,51258,1567,1799,7344,23,23,66
Heavy,22,5979,58928,1362211,5821,42281,190314,1355,2309,7408,1923,2368,52504,1571,1794,7570,20,20,49
Heavy,23,5983,61511,1420895,5833,44177,197946,1362,2330,7466,2049,2583,58684,1641,1896,7632,21,21,58
Heavy,24,5990,64738,1487685,5850,46748,207888,1372,2355,7525,2505,3227,66790,2152,2570,9943,24,25,60
Heavy,25,5993,66809,1530266,5857,48186,212622,1382,2380,7608,1672,2071,42581,1270,1439,4733,23,24,83
Heavy,26,5998,68941,1573942,5865,49666,217961,1393,2411,7707,1734,2132,43677,1313,1480,5339,29,32,99
Heavy,27,6004,72029,1839057,5873,51192,223318,2073,3726,25133,2322,3089,265116,1360,1526,5357,1163,1315,17426
Heavy,28,6008,74674,1952762,5880,52646,228247,2408,4530,30526,2025,2645,113704,1283,1454,4930,706,804,5394
Heavy,29,6009,76792,2005746,5884,53994,232745,2512,4822,31483,1696,2118,52984,1195,1347,4497,275,293,956
Heavy,30,6011,79029,2059853,5889,55470,238045,2615,5122,32360,1803,2237,54107,1310,1475,5300,284,300,878
Heavy,31,6013,81374,2116406,5893,57047,244065,2696,5408,33118,1865,2345,56553,1391,1578,6019,271,286,758
Heavy,32,6014,83557,2161835,5897,58299,248431,2753,5612,33659,1755,2183,45429,1129,1252,4366,196,204,541
Heavy,33,6016,85753,2212511,5901,59796,253869,2810,5816,34210,1751,2195,50676,1309,1497,5439,194,203,551
Heavy,34,6017,87939,2265948,5905,61260,259255,2864,6029,34820,1761,2186,53437,1296,1464,5386,203,212,610
Heavy,35,6017,90161,2319782,5909,62785,265101,2913,6233,35405,1790,2222,53834,1344,1525,5847,194,203,585
Heavy,36,6018,92347,2376629,5912,64246,270557,2963,6469,36127,1775,2186,56847,1301,1461,5456,225,237,722
Heavy,37,6019,94631,2436980,5916,65753,276076,3013,6707,36823,1832,2284,60351,1335,1508,5519,223,238,696
Heavy,38,6020,96889,2497190,5918,67269,281811,3065,6947,37521,1824,2257,60211,1346,1516,5734,227,240,698
Heavy,39,6022,99867,2632763,5923,69037,288902,3167,7909,42287,2304,2978,135573,1555,1769,7092,867,962,4766
Heavy,40,6023,102490,2725327,5927,70655,295202,3250,8543,44731,2062,2624,92564,1421,1617,6300,577,635,2444
Heavy,41,6024,105036,2799143,5929,72275,301078,3308,8859,45590,1982,2547,73815,1411,1621,5876,296,316,859
Heavy,42,6024,107403,2866300,5932,73751,306581,3362,9148,46408,1877,2366,67158,1304,1476,5503,271,289,818
Heavy,43,6025,109861,2932532,5935,75281,312284,3416,9432,47191,1936,2458,66232,1344,1531,5703,266,284,783
Heavy,44,6026,113536,3119722,5942,77677,324117,3593,10664,51489,2741,3674,187190,2037,2395,11833,1090,1232,4298
Heavy,45,6026,116461,3233089,5945,79503,332211,3703,11351,53637,2231,2925,113367,1571,1826,8094,614,688,2148
Heavy,46,6027,119282,3327927,5949,81354,340187,3787,11810,54826,2172,2821,94838,1583,1850,7976,424,459,1189
Heavy,47,6028,122193,3436115,5954,83157,348386,3891,12408,56404,2237,2911,108188,1560,1804,8199,547,599,1578
Heavy,48,6030,125790,3569636,5957,85433,359914,4025,13205,58458,2652,3598,133520,1915,2275,11527,710,797,2054
Heavy,49,6031,129670,3706502,5961,87837,371308,4143,13976,60431,2794,3879,136866,1989,2404,11395,681,771,1973
Heavy,50,6032,134052,3850469,5966,90464,382196,4244,14761,62285,3006,4382,143967,2107,2625,10887,680,785,1855
Heavy,51,6033,137625,3960964,5969,92390,388731,4310,15399,63870,2513,3573,110495,1598,1927,6536,549,638,1585
Heavy,52,6033,141398,4117425,5972,94008,394302,4378,16847,70362,2382,3773,156461,1373,1617,5571,971,1448,6492
Mainstream,1,9909,11032,143903,8483,9097,31156,632,686,1624,9909,11032,143903,8483,9097,31156,632,686,1624
Mainstream,2,17550,21872,284548,15483,18264,64877,1013,1136,2640,9820,10840,140645,8568,9167,33720,421,450,1015
Mainstream,3,23962,33498,433849,21656,28324,105002,1277,1467,3448,10535,11626,149301,9369,10061,40126,314,331,809
Mainstream,4,28863,44848,583079,26547,38288,147372,1443,1674,3929,10373,11350,149230,9321,9964,42369,200,207,480
Mainstream,5,33928,59459,771279,31770,51404,204033,1606,1886,4532,13100,14612,188200,12030,13117,56661,202,212,605
Mainstream,6,39516,80799,1031461,37669,70484,273434,1715,2027,4862,18037,21341,260182,16617,19079,69401,137,140,329
Mainstream,7,40721,89710,1123114,38864,77876,294416,1763,2093,5017,8173,8911,91653,6962,7393,20983,64,66,155
Mainstream,8,41799,99402,1230368,39971,86176,321021,1814,2158,5146,8889,9692,107255,7793,8301,26605,65,66,130
Mainstream,9,42798,110060,1350824,41026,95423,351949,1863,2220,5279,9740,10658,120456,8651,9247,30928,60,62,133
Mainstream,10,43639,120623,1471660,41922,104512,381927,1904,2273,5383,9626,10562,120835,8481,9088,29978,52,54,104
Mainstream,11,44347,131186,1598107,42684,113571,412729,1946,2329,5504,9612,10563,126446,8447,9059,30803,54,56,121
Mainstream,12,44993,142741,1745438,43403,123631,451537,1988,2386,5617,10464,11555,147332,9338,10060,38808,56,57,113
Mainstream,13,45635,156440,1922949,44125,135695,501856,2031,2444,5740,12219,13699,177511,11022,12064,50319,57,58,123
Mainstream,14,46311,172653,2127875,44874,149394,551819,2089,2518,5878,13976,16214,204926,12211,13699,49963,73,75,138
Mainstream,15,46620,182249,2233001,45231,157547,577678,2154,2608,6087,8789,9596,105126,7655,8153,25859,86,90,209
Mainstream,16,46987,194617,2375047,45675,168435,617574,2248,2730,6420,11174,12369,142046,10083,10888,39896,118,122,333
Mainstream,17,47391,209877,2558765,46183,182200,673637,2364,2880,6839,13685,15260,183718,12641,13765,56064,145,150,419
Mainstream,18,47967,233051,2852960,46934,203360,751924,2593,3174,7630,19653,23173,294196,18453,21160,78287,279,294,791
Mainstream,19,48141,243554,2963336,47155,212463,778670,2629,3232,7759,9551,10503,110375,8469,9104,26746,56,58,130
Mainstream,20,48301,255060,3087265,47363,222627,810500,2651,3266,7858,10413,11507,123929,9407,10164,31830,33,34,99
Mainstream,21,48446,266815,3219570,47552,233059,844826,2671,3297,7923,10647,11755,132305,9655,10431,34325,31,31,65
Mainstream,22,48567,278849,3359512,47717,243808,881913,2693,3328,8015,10916,12034,139942,9961,10750,37087,32,32,91
